scenario_ref,synthetic_ref,settlement_id,order_id,gross_amount,settlement_date,narration
LATE-009,REC-SET-001,SET-dca544be-001,ORD-dca544be-A,2430.00,2026-08-01,Wire transfer
EXACT-020,REC-SET-001,SET-7b352f8e-001,ORD-7b352f8e,2690.00,2026-08-01,UPI transaction
TDLY-011,REC-SET-001,SET-861584ae-001,ORD-861584ae,800.00,2026-08-01,Refund processing
REFD-002,REC-SET-001,SET-7409bf96-001,ORD-7409bf96-A,1480.00,2026-08-01,Direct deposit
RND-012,REC-SET-001,SET-3f7168a2-001,ORD-3f7168a2-A,1780.00,2026-08-01,Adjustment entry
LATE-006,REC-SET-001,SET-f5c7a9da-001,ORD-f5c7a9da-A,3650.00,2026-08-01,Payment for services rendered
LATE-007,REC-SET-001,SET-a165ec28-001,ORD-a165ec28-A,1660.00,2026-08-01,Reconciliation entry
DUP-006,REC-SET-001,SET-fdfa4396-001,ORD-fdfa4396,1450.00,2026-08-01,Invoice settlement
TDLY-007,REC-SET-001,SET-c4758588-001,ORD-c4758588,1260.00,2026-08-01,Online payment
UNQ-001,REC-SET-001,SET-e76bdb90-001,ORD-e76bdb90,6000.00,2026-08-01,Card settlement
RND-001,REC-SET-001,SET-0c3aee51-001,ORD-0c3aee51-A,15670.00,2026-08-01,Vendor payout
DUP-007,REC-SET-001,SET-a6510367-001,ORD-a6510367,10960.00,2026-08-01,Monthly subscription fee
NARR-005,REC-SET-001,SET-0905fa98-001,ORD-0905fa98-A,20840.00,2026-08-01,Payment related to ORD-0905fa98-A
DUP-009,REC-SET-002,SET-65e9a1fe-002,ORD-65e9a1fe,5980.00,2026-08-01,Refund processing
DUP-001,REC-SET-002,SET-ea95ce4e-002,ORD-ea95ce4e,2400.00,2026-08-01,Wire transfer
EXACT-013,REC-SET-001,SET-2720e289-001,ORD-2720e289,1120.00,2026-08-01,Bank credit
FEE-004,REC-SET-001,SET-2c1ae13a-001,ORD-2c1ae13a-A,2380.00,2026-08-01,Online payment
TDLY-001,REC-SET-001,SET-69af1390-001,ORD-69af1390,1200.00,2026-08-01,Online payment
REFD-001,REC-SET-001,SET-f25ca133-001,ORD-f25ca133-A,15470.00,2026-08-01,Payment for services rendered
SPLT-004,REC-SET-001,SET-c62c416f-001,ORD-c62c416f-A,1350.00,2026-08-01,ACH credit
LATE-005,REC-SET-001,SET-a7d986aa-001,ORD-a7d986aa-A,6140.00,2026-08-01,Invoice settlement
DUP-010,REC-SET-002,SET-69656163-002,ORD-69656163,1740.00,2026-08-01,Refund processing
TDLY-003,REC-SET-001,SET-0cd9fe67-001,ORD-0cd9fe67,970.00,2026-08-01,Settlement transfer
NARR-001,REC-SET-001,SET-abc23d49-001,ORD-abc23d49-A,10800.00,2026-08-01,Payment related to ORD-abc23d49-A
NARR-007,REC-SET-001,SET-ae006077-001,ORD-ae006077-A,20860.00,2026-08-01,Payment related to ORD-ae006077-A
NARR-002,REC-SET-001,SET-e65f51d5-001,ORD-e65f51d5-A,20810.00,2026-08-01,Payment related to ORD-e65f51d5-A
RND-005,REC-SET-001,SET-3b1da642-001,ORD-3b1da642-A,15710.00,2026-08-01,Bank credit
DUP-008,REC-SET-001,SET-ac78a0e5-001,ORD-ac78a0e5,15970.00,2026-08-01,UPI transaction
DUP-002,REC-SET-002,SET-02dadfc2-002,ORD-02dadfc2,5910.00,2026-08-01,ACH credit
TDLY-005,REC-SET-001,SET-2c9359c2-001,ORD-2c9359c2,1740.00,2026-08-01,Payment gateway transfer
UNQ-002,REC-SET-001,SET-8905eee3-001,ORD-8905eee3,2260.00,2026-08-01,ACH credit
RND-003,REC-SET-001,SET-a223c181-001,ORD-a223c181-A,10690.00,2026-08-01,Client remittance
NARR-010,REC-SET-001,SET-241914d6-001,ORD-241914d6-A,3390.00,2026-08-01,Payment related to ORD-241914d6-A
FEE-002,REC-SET-001,SET-6e4002a9-001,ORD-6e4002a9-A,7860.00,2026-08-01,UPI transaction
NARR-004,REC-SET-001,SET-532d48e6-001,ORD-532d48e6-A,10830.00,2026-08-01,Payment related to ORD-532d48e6-A
SPLT-002,REC-SET-001,SET-c11ec485-001,ORD-c11ec485-A,15580.00,2026-08-01,UPI transaction
EXACT-007,REC-SET-001,SET-cf69bbc0-001,ORD-cf69bbc0,1310.00,2026-08-01,Payment gateway transfer
RND-009,REC-SET-001,SET-8f3dbdfd-001,ORD-8f3dbdfd-A,2250.00,2026-08-01,Refund processing
SPLT-006,REC-SET-001,SET-14acf163-001,ORD-14acf163-A,1620.00,2026-08-01,Card settlement
EXACT-003,REC-SET-001,SET-70e3a430-001,ORD-70e3a430,2520.00,2026-08-01,Invoice settlement
DUP-006,REC-SET-002,SET-fdfa4396-002,ORD-fdfa4396,1450.00,2026-08-01,Refund processing
REFD-009,REC-SET-001,SET-e469eebe-001,ORD-e469eebe-A,8050.00,2026-08-01,Vendor payout
SPLT-010,REC-SET-001,SET-96f3b64a-001,ORD-96f3b64a-A,15660.00,2026-08-01,Adjustment entry
FEE-005,REC-SET-001,SET-80eedc54-001,ORD-80eedc54-A,15390.00,2026-08-01,Commission disbursement
DUP-002,REC-SET-001,SET-02dadfc2-001,ORD-02dadfc2,5910.00,2026-08-01,ACH credit
DUP-003,REC-SET-001,SET-dc1c3ad0-001,ORD-dc1c3ad0,5920.00,2026-08-01,Vendor payout
REFD-008,REC-SET-001,SET-072937f3-001,ORD-072937f3-A,1040.00,2026-08-01,Direct deposit
TDLY-009,REC-SET-001,SET-c326288b-001,ORD-c326288b,7780.00,2026-08-01,Online payment
EXACT-015,REC-SET-001,SET-45f25bd4-001,ORD-45f25bd4,5140.00,2026-08-01,Settlement transfer
NARR-009,REC-SET-001,SET-58eeb801-001,ORD-58eeb801-A,15880.00,2026-08-01,Payment related to ORD-58eeb801-A
LATE-008,REC-SET-001,SET-b5f7b21a-001,ORD-b5f7b21a-A,8670.00,2026-08-01,Wallet transfer
EXACT-001,REC-SET-001,SET-28b14c40-001,ORD-28b14c40,15000.00,2026-08-01,Order fulfillment payment
FEE-007,REC-SET-001,SET-7369f0d7-001,ORD-7369f0d7-A,1660.00,2026-08-01,Order fulfillment payment
SPLT-001,REC-SET-001,SET-48688aa7-001,ORD-48688aa7-A,10570.00,2026-08-01,UPI transaction
SPLT-007,REC-SET-001,SET-894b0bfa-001,ORD-894b0bfa-A,2130.00,2026-08-01,Order fulfillment payment
RND-004,REC-SET-001,SET-9a816ea2-001,ORD-9a816ea2-A,2200.00,2026-08-01,Invoice settlement
SPLT-008,REC-SET-001,SET-a08f3d70-001,ORD-a08f3d70-A,20640.00,2026-08-01,Client remittance
DUP-009,REC-SET-001,SET-65e9a1fe-001,ORD-65e9a1fe,5980.00,2026-08-01,Settlement transfer
EXACT-018,REC-SET-001,SET-aa10f749-001,ORD-aa10f749,15170.00,2026-08-01,Direct deposit
EXACT-002,REC-SET-001,SET-7bd4c3f4-001,ORD-7bd4c3f4,1260.00,2026-08-01,Client remittance
DUP-004,REC-SET-001,SET-c97f6b3e-001,ORD-c97f6b3e,8430.00,2026-08-01,Wallet transfer
EXACT-008,REC-SET-001,SET-b9f09f3a-001,ORD-b9f09f3a,820.00,2026-08-01,Bank credit
