scenario_ref,synthetic_ref,bank_utr,order_id,credit_amount,value_date,narration
SPLT-001,REC-BNK-001,BNK-48688aa7-001,ORD-48688aa7-B,775.00,2026-08-02,Wallet transfer
TDLY-004,REC-BNK-001,BNK-66369e54-001,ORD-66369e54,20230.00,2026-08-03,Client remittance
FEE-001,REC-BNK-001,BNK-408762a0-001,ORD-408762a0-B,7835.00,2026-08-02,Wire transfer
RND-005,REC-BNK-001,BNK-3b1da642-001,ORD-3b1da642-B,1960.07,2026-08-02,Payment gateway transfer
SPLT-010,REC-BNK-001,BNK-96f3b64a-001,ORD-96f3b64a-B,7810.00,2026-08-01,Wire transfer
SPLT-006,REC-BNK-002,BNK-14acf163-002,ORD-14acf163-C,7860.00,2026-08-02,Payment for services rendered
SPLT-004,REC-BNK-002,BNK-c62c416f-002,ORD-c62c416f-C,1350.00,2026-08-01,Bank credit
EXACT-020,REC-BNK-001,BNK-7b352f8e-001,ORD-7b352f8e,1190.00,2026-08-01,Order fulfillment payment
REFD-006,REC-BNK-001,BNK-c6d4f778-001,ORD-c6d4f778-B,1020.00,2026-08-02,Online payment
SPLT-004,REC-BNK-001,BNK-c62c416f-001,ORD-c62c416f-B,1250.00,2026-08-01,Client remittance
SPLT-005,REC-BNK-002,BNK-85e11505-002,ORD-85e11505-C,700.00,2026-08-01,Settlement transfer
FEE-003,REC-BNK-001,BNK-6f955b89-001,ORD-6f955b89-B,7845.00,2026-08-01,Settlement transfer
FEE-005,REC-BNK-001,BNK-80eedc54-001,ORD-80eedc54-B,1865.00,2026-08-02,Vendor payout
EXACT-013,REC-BNK-001,BNK-2720e289-001,ORD-2720e289,870.00,2026-08-02,Payment gateway transfer
LATE-005,REC-BNK-001,BNK-a7d986aa-001,ORD-a7d986aa-B,8640.00,2026-08-06,Settlement transfer
REFD-009,REC-BNK-001,BNK-e469eebe-001,ORD-e469eebe-B,15050.00,2026-08-01,Adjustment entry
FEE-002,REC-BNK-001,BNK-6e4002a9-001,ORD-6e4002a9-B,10335.00,2026-08-01,Bank credit
EXACT-010,REC-BNK-001,BNK-a145d82e-001,ORD-a145d82e,10090.00,2026-08-02,Adjustment entry
REFD-007,REC-BNK-001,BNK-a0fc54b4-001,ORD-a0fc54b4-B,530.00,2026-08-02,Refund processing
SPLT-005,REC-BNK-001,BNK-85e11505-001,ORD-85e11505-B,660.00,2026-08-01,Bank credit
SPLT-001,REC-BNK-002,BNK-48688aa7-002,ORD-48688aa7-C,795.00,2026-08-02,Monthly subscription fee
SPLT-010,REC-BNK-002,BNK-96f3b64a-002,ORD-96f3b64a-C,7850.00,2026-08-01,UPI transaction
DUP-001,REC-BNK-001,BNK-ea95ce4e-001,ORD-ea95ce4e-B,6400.00,2026-08-06,Order fulfillment payment
FEE-009,REC-BNK-001,BNK-8f5fbd01-001,ORD-8f5fbd01-B,7905.00,2026-08-01,Refund processing
SPLT-002,REC-BNK-001,BNK-c11ec485-001,ORD-c11ec485-B,1530.00,2026-08-01,Card settlement
UNQ-004,REC-BNK-001,BNK-126070a1-001,ORD-126070a1,1780.00,2026-08-01,Payment gateway transfer
RND-003,REC-BNK-001,BNK-a223c181-001,ORD-a223c181-B,10690.05,2026-08-02,Invoice settlement
REFD-008,REC-BNK-001,BNK-072937f3-001,ORD-072937f3-B,5040.00,2026-08-01,Vendor payout
SPLT-007,REC-BNK-002,BNK-894b0bfa-002,ORD-894b0bfa-C,7865.00,2026-08-02,Monthly subscription fee
DUP-010,REC-BNK-001,BNK-69656163-001,ORD-69656163-B,6490.00,2026-08-06,Vendor payout
RND-001,REC-BNK-001,BNK-0c3aee51-001,ORD-0c3aee51-B,1170.02,2026-08-01,Monthly subscription fee
REFD-001,REC-BNK-001,BNK-f25ca133-001,ORD-f25ca133-B,1220.00,2026-08-02,UPI transaction
SPLT-008,REC-BNK-001,BNK-a08f3d70-001,ORD-a08f3d70-B,1560.00,2026-08-02,Refund processing
TDLY-012,REC-BNK-001,BNK-a6e169e2-001,ORD-a6e169e2,2810.00,2026-08-03,Settlement transfer
RND-002,REC-BNK-001,BNK-29c2bcba-001,ORD-29c2bcba-B,2680.05,2026-08-02,Vendor payout
FEE-007,REC-BNK-001,BNK-7369f0d7-001,ORD-7369f0d7-B,5395.00,2026-08-01,Commission disbursement
NARR-007,REC-BNK-001,BNK-ae006077-001,ORD-ae006077-B,7860.00,2026-08-13,Transfer mentioning ORD-ae006077-B
SPLT-008,REC-BNK-002,BNK-a08f3d70-002,ORD-a08f3d70-C,1580.00,2026-08-02,Monthly subscription fee
SPLT-003,REC-BNK-001,BNK-eb34da40-001,ORD-eb34da40-B,3995.00,2026-08-02,Invoice settlement
SPLT-002,REC-BNK-002,BNK-c11ec485-002,ORD-c11ec485-C,1550.00,2026-08-01,Bank credit
SPLT-003,REC-BNK-002,BNK-eb34da40-002,ORD-eb34da40-C,4095.00,2026-08-02,Payment for services rendered
NARR-001,REC-BNK-001,BNK-abc23d49-001,ORD-abc23d49-B,3300.00,2026-08-12,Transfer mentioning ORD-abc23d49-B
EXACT-017,REC-BNK-001,BNK-c83d6f90-001,ORD-c83d6f90,1160.00,2026-08-01,Adjustment entry
TDLY-014,REC-BNK-001,BNK-baac309e-001,ORD-baac309e,1330.00,2026-08-02,Wallet transfer
REFD-004,REC-BNK-001,BNK-f0b43f03-001,ORD-f0b43f03-B,19750.00,2026-08-02,Direct deposit
SPLT-009,REC-BNK-001,BNK-f179c21c-001,ORD-f179c21c-B,5315.00,2026-08-01,Card settlement
RND-006,REC-BNK-001,BNK-b01de657-001,ORD-b01de657-B,2720.03,2026-08-01,Commission disbursement
DUP-002,REC-BNK-001,BNK-02dadfc2-001,ORD-02dadfc2-B,2660.00,2026-08-06,Reconciliation entry
FEE-012,REC-BNK-001,BNK-a523cc54-001,ORD-a523cc54-B,15425.00,2026-08-01,ACH credit
RND-013,REC-BNK-001,BNK-fc54b166-001,ORD-fc54b166-B,1800.00,2026-08-01,Online payment
UNQ-007,REC-BNK-001,BNK-0ae1a9d6-001,ORD-0ae1a9d6,1810.00,2026-08-01,Payment gateway transfer
EXACT-006,REC-BNK-001,BNK-974dfe1a-001,ORD-974dfe1a,10050.00,2026-08-02,Invoice settlement
UNQ-005,REC-BNK-001,BNK-a7c2ca67-001,ORD-a7c2ca67,6040.00,2026-08-01,Invoice settlement
EXACT-011,REC-BNK-001,BNK-0f156a6f-001,ORD-0f156a6f,2100.00,2026-08-01,Direct deposit
EXACT-019,REC-BNK-001,BNK-51b0a977-001,ORD-51b0a977,10180.00,2026-08-01,Online payment
REFD-010,REC-BNK-001,BNK-1dd8d14a-001,ORD-1dd8d14a-B,2310.00,2026-08-01,Commission disbursement
FEE-006,REC-BNK-001,BNK-c41aa819-001,ORD-c41aa819-B,1865.00,2026-08-01,Card settlement
RND-010,REC-BNK-001,BNK-c5dc7048-001,ORD-c5dc7048-B,5765.00,2026-08-02,Payment for services rendered
LATE-010,REC-BNK-001,BNK-66c48a34-001,ORD-66c48a34-B,3190.00,2026-08-06,Commission disbursement
LATE-007,REC-BNK-001,BNK-a165ec28-001,ORD-a165ec28-B,1910.00,2026-08-06,Monthly subscription fee
FEE-008,REC-BNK-001,BNK-be1a1409-001,ORD-be1a1409-B,5395.00,2026-08-01,Reconciliation entry
EXACT-015,REC-BNK-001,BNK-45f25bd4-001,ORD-45f25bd4,20140.00,2026-08-02,Wallet transfer
DUP-003,REC-BNK-001,BNK-dc1c3ad0-001,ORD-dc1c3ad0-B,2670.00,2026-08-06,Bank credit
