scenario_ref,synthetic_ref,settlement_id,order_id,gross_amount,settlement_date,narration
REFD-006,REC-SET-001,SET-c6d4f778-001,ORD-c6d4f778-A,1520.00,2026-08-01,Adjustment entry
EXACT-004,REC-SET-001,SET-e91bc649-001,ORD-e91bc649,10030.00,2026-08-01,ACH credit
REFD-010,REC-SET-001,SET-1dd8d14a-001,ORD-1dd8d14a-A,3060.00,2026-08-01,Card settlement
UNQ-006,REC-SET-001,SET-53dbb9d4-001,ORD-53dbb9d4,16050.00,2026-08-01,ACH credit
SPLT-003,REC-SET-001,SET-eb34da40-001,ORD-eb34da40-A,8090.00,2026-08-01,Direct deposit
DUP-009,REC-SET-001,SET-65e9a1fe-001,ORD-65e9a1fe,8480.00,2026-08-01,Direct deposit
DUP-006,REC-SET-002,SET-fdfa4396-002,ORD-fdfa4396,2450.00,2026-08-01,Refund processing
SPLT-010,REC-SET-001,SET-96f3b64a-001,ORD-96f3b64a-A,15660.00,2026-08-01,UPI transaction
DUP-005,REC-SET-001,SET-0ac2a8bc-001,ORD-0ac2a8bc,2440.00,2026-08-01,Card settlement
EXACT-003,REC-SET-001,SET-70e3a430-001,ORD-70e3a430,2020.00,2026-08-01,Wire transfer
RND-012,REC-SET-001,SET-3f7168a2-001,ORD-3f7168a2-A,10780.00,2026-08-01,Invoice settlement
NARR-006,REC-SET-001,SET-b3af4805-001,ORD-b3af4805-A,3350.00,2026-08-01,Payment related to ORD-b3af4805-A
EXACT-013,REC-SET-001,SET-2720e289-001,ORD-2720e289,870.00,2026-08-01,Wallet transfer
TDLY-014,REC-SET-001,SET-baac309e-001,ORD-baac309e,1330.00,2026-08-01,Wallet transfer
FEE-006,REC-SET-001,SET-c41aa819-001,ORD-c41aa819-A,1900.00,2026-08-01,Payment for services rendered
EXACT-016,REC-SET-001,SET-a44aba41-001,ORD-a44aba41,5150.00,2026-08-01,Reconciliation entry
DUP-009,REC-SET-002,SET-65e9a1fe-002,ORD-65e9a1fe,8480.00,2026-08-01,Payment gateway transfer
TDLY-001,REC-SET-001,SET-69af1390-001,ORD-69af1390,1200.00,2026-08-01,Adjustment entry
EXACT-011,REC-SET-001,SET-0f156a6f-001,ORD-0f156a6f,2100.00,2026-08-01,Online payment
FEE-012,REC-SET-001,SET-a523cc54-001,ORD-a523cc54-A,15460.00,2026-08-01,Order fulfillment payment
FEE-003,REC-SET-001,SET-6f955b89-001,ORD-6f955b89-A,7870.00,2026-08-01,ACH credit
RND-010,REC-SET-001,SET-c5dc7048-001,ORD-c5dc7048-A,5760.00,2026-08-01,Monthly subscription fee
LATE-002,REC-SET-001,SET-6e8595f5-001,ORD-6e8595f5-A,2610.00,2026-08-01,Client remittance
UNQ-009,REC-SET-001,SET-6e23ff7a-001,ORD-6e23ff7a,2580.00,2026-08-01,Client remittance
TDLY-003,REC-SET-001,SET-0cd9fe67-001,ORD-0cd9fe67,1720.00,2026-08-01,Card settlement
EXACT-010,REC-SET-001,SET-a145d82e-001,ORD-a145d82e,10090.00,2026-08-01,Adjustment entry
EXACT-014,REC-SET-001,SET-e5fbe318-001,ORD-e5fbe318,10130.00,2026-08-01,UPI transaction
LATE-007,REC-SET-001,SET-a165ec28-001,ORD-a165ec28-A,1910.00,2026-08-01,Payment for services rendered
SPLT-001,REC-SET-001,SET-48688aa7-001,ORD-48688aa7-A,1570.00,2026-08-01,Monthly subscription fee
SPLT-005,REC-SET-001,SET-85e11505-001,ORD-85e11505-A,1360.00,2026-08-01,Vendor payout
DUP-001,REC-SET-001,SET-ea95ce4e-001,ORD-ea95ce4e,5900.00,2026-08-01,Client remittance
LATE-010,REC-SET-001,SET-66c48a34-001,ORD-66c48a34-A,3190.00,2026-08-01,ACH credit
FEE-004,REC-SET-001,SET-2c1ae13a-001,ORD-2c1ae13a-A,5380.00,2026-08-01,Refund processing
TDLY-002,REC-SET-001,SET-f9b903bb-001,ORD-f9b903bb,7710.00,2026-08-01,Client remittance
EXACT-017,REC-SET-001,SET-c83d6f90-001,ORD-c83d6f90,1160.00,2026-08-01,Wire transfer
LATE-006,REC-SET-001,SET-f5c7a9da-001,ORD-f5c7a9da-A,21150.00,2026-08-01,Order fulfillment payment
DUP-006,REC-SET-001,SET-fdfa4396-001,ORD-fdfa4396,2450.00,2026-08-01,Card settlement
NARR-003,REC-SET-001,SET-3c72fba1-001,ORD-3c72fba1-A,1320.00,2026-08-01,Payment related to ORD-3c72fba1-A
SPLT-004,REC-SET-001,SET-c62c416f-001,ORD-c62c416f-A,2600.00,2026-08-01,Client remittance
REFD-004,REC-SET-001,SET-f0b43f03-001,ORD-f0b43f03-A,20500.00,2026-08-01,Client remittance
TDLY-004,REC-SET-001,SET-66369e54-001,ORD-66369e54,20230.00,2026-08-01,Bank credit
LATE-005,REC-SET-001,SET-a7d986aa-001,ORD-a7d986aa-A,8640.00,2026-08-01,Direct deposit
DUP-003,REC-SET-002,SET-dc1c3ad0-002,ORD-dc1c3ad0,2170.00,2026-08-01,Monthly subscription fee
NARR-010,REC-SET-001,SET-241914d6-001,ORD-241914d6-A,5890.00,2026-08-01,Payment related to ORD-241914d6-A
TDLY-007,REC-SET-001,SET-c4758588-001,ORD-c4758588,10260.00,2026-08-01,Reconciliation entry
UNQ-002,REC-SET-001,SET-8905eee3-001,ORD-8905eee3,21010.00,2026-08-01,Payment gateway transfer
EXACT-015,REC-SET-001,SET-45f25bd4-001,ORD-45f25bd4,20140.00,2026-08-01,Refund processing
RND-002,REC-SET-001,SET-29c2bcba-001,ORD-29c2bcba-A,2680.00,2026-08-01,Wallet transfer
SPLT-002,REC-SET-001,SET-c11ec485-001,ORD-c11ec485-A,3080.00,2026-08-01,Commission disbursement
DUP-001,REC-SET-002,SET-ea95ce4e-002,ORD-ea95ce4e,5900.00,2026-08-01,Wallet transfer
FEE-009,REC-SET-001,SET-8f5fbd01-001,ORD-8f5fbd01-A,7930.00,2026-08-01,ACH credit
NARR-007,REC-SET-001,SET-ae006077-001,ORD-ae006077-A,5860.00,2026-08-01,Payment related to ORD-ae006077-A
UNQ-010,REC-SET-001,SET-1dfb9ce8-001,ORD-1dfb9ce8,16090.00,2026-08-01,Wallet transfer
EXACT-020,REC-SET-001,SET-7b352f8e-001,ORD-7b352f8e,1190.00,2026-08-01,Order fulfillment payment
FEE-008,REC-SET-001,SET-be1a1409-001,ORD-be1a1409-A,5420.00,2026-08-01,Settlement transfer
SPLT-009,REC-SET-001,SET-f179c21c-001,ORD-f179c21c-A,10650.00,2026-08-01,Wallet transfer
NARR-008,REC-SET-001,SET-3f2c353d-001,ORD-3f2c353d-A,3370.00,2026-08-01,Payment related to ORD-3f2c353d-A
RND-009,REC-SET-001,SET-8f3dbdfd-001,ORD-8f3dbdfd-A,2000.00,2026-08-01,Online payment
TDLY-011,REC-SET-001,SET-861584ae-001,ORD-861584ae,1300.00,2026-08-01,Bank credit
TDLY-012,REC-SET-001,SET-a6e169e2-001,ORD-a6e169e2,2810.00,2026-08-01,Payment for services rendered
LATE-004,REC-SET-001,SET-f02eb125-001,ORD-f02eb125-A,2630.00,2026-08-01,Invoice settlement
SPLT-007,REC-SET-001,SET-894b0bfa-001,ORD-894b0bfa-A,15630.00,2026-08-01,Payment gateway transfer
FEE-010,REC-SET-001,SET-34fc9ed2-001,ORD-34fc9ed2-A,10440.00,2026-08-01,ACH credit
TDLY-010,REC-SET-001,SET-3ea4caaa-001,ORD-3ea4caaa,1290.00,2026-08-01,Settlement transfer
EXACT-008,REC-SET-001,SET-b9f09f3a-001,ORD-b9f09f3a,2070.00,2026-08-01,Commission disbursement
EXACT-009,REC-SET-001,SET-ca6681b0-001,ORD-ca6681b0,830.00,2026-08-01,Online payment
REFD-003,REC-SET-001,SET-1bbf0ece-001,ORD-1bbf0ece-A,2990.00,2026-08-01,Wallet transfer
DUP-007,REC-SET-002,SET-a6510367-002,ORD-a6510367,2210.00,2026-08-01,Online payment
TDLY-009,REC-SET-001,SET-c326288b-001,ORD-c326288b,1030.00,2026-08-01,Refund processing
TDLY-008,REC-SET-001,SET-22625454-001,ORD-22625454,1020.00,2026-08-01,Payment gateway transfer
REFD-005,REC-SET-001,SET-f1533c72-001,ORD-f1533c72-A,5510.00,2026-08-01,Wire transfer
EXACT-002,REC-SET-001,SET-7bd4c3f4-001,ORD-7bd4c3f4,1010.00,2026-08-01,Vendor payout
RND-013,REC-SET-001,SET-fc54b166-001,ORD-fc54b166-A,1790.00,2026-08-01,Invoice settlement
TDLY-006,REC-SET-001,SET-622bee1a-001,ORD-622bee1a,1250.00,2026-08-01,Wire transfer
LATE-003,REC-SET-001,SET-d69cad2d-001,ORD-d69cad2d-A,2120.00,2026-08-01,Commission disbursement
FEE-005,REC-SET-001,SET-80eedc54-001,ORD-80eedc54-A,1890.00,2026-08-01,Online payment
FEE-002,REC-SET-001,SET-6e4002a9-001,ORD-6e4002a9-A,10360.00,2026-08-01,Bank credit
EXACT-005,REC-SET-001,SET-7bc992f4-001,ORD-7bc992f4,2540.00,2026-08-01,Client remittance
NARR-002,REC-SET-001,SET-e65f51d5-001,ORD-e65f51d5-A,1310.00,2026-08-01,Payment related to ORD-e65f51d5-A
DUP-010,REC-SET-001,SET-69656163-001,ORD-69656163,5990.00,2026-08-01,Settlement transfer
REFD-007,REC-SET-001,SET-a0fc54b4-001,ORD-a0fc54b4-A,1280.00,2026-08-01,Invoice settlement
LATE-001,REC-SET-001,SET-a2284beb-001,ORD-a2284beb-A,2600.00,2026-08-01,Wallet transfer
RND-011,REC-SET-001,SET-49d1e863-001,ORD-49d1e863-A,2270.00,2026-08-01,Direct deposit
RND-007,REC-SET-001,SET-c7226560-001,ORD-c7226560-A,2230.00,2026-08-01,Invoice settlement
FEE-011,REC-SET-001,SET-446a22be-001,ORD-446a22be-A,1700.00,2026-08-01,Card settlement
RND-004,REC-SET-001,SET-9a816ea2-001,ORD-9a816ea2-A,2200.00,2026-08-01,Order fulfillment payment
NARR-005,REC-SET-001,SET-0905fa98-001,ORD-0905fa98-A,2340.00,2026-08-01,Payment related to ORD-0905fa98-A
DUP-002,REC-SET-002,SET-02dadfc2-002,ORD-02dadfc2,2160.00,2026-08-01,Commission disbursement
EXACT-018,REC-SET-001,SET-aa10f749-001,ORD-aa10f749,2170.00,2026-08-01,Settlement transfer
DUP-007,REC-SET-001,SET-a6510367-001,ORD-a6510367,2210.00,2026-08-01,Online payment
RND-003,REC-SET-001,SET-a223c181-001,ORD-a223c181-A,10690.00,2026-08-01,Settlement transfer
NARR-009,REC-SET-001,SET-58eeb801-001,ORD-58eeb801-A,20880.00,2026-08-01,Payment related to ORD-58eeb801-A
TDLY-005,REC-SET-001,SET-2c9359c2-001,ORD-2c9359c2,10240.00,2026-08-01,Order fulfillment payment
NARR-004,REC-SET-001,SET-532d48e6-001,ORD-532d48e6-A,2830.00,2026-08-01,Payment related to ORD-532d48e6-A
EXACT-019,REC-SET-001,SET-51b0a977-001,ORD-51b0a977,10180.00,2026-08-01,ACH credit
FEE-007,REC-SET-001,SET-7369f0d7-001,ORD-7369f0d7-A,5410.00,2026-08-01,Payment for services rendered
LATE-008,REC-SET-001,SET-b5f7b21a-001,ORD-b5f7b21a-A,2670.00,2026-08-01,Commission disbursement
REFD-008,REC-SET-001,SET-072937f3-001,ORD-072937f3-A,5540.00,2026-08-01,Online payment
TDLY-015,REC-SET-001,SET-20d3092d-001,ORD-20d3092d,1340.00,2026-08-01,Vendor payout
DUP-005,REC-SET-002,SET-0ac2a8bc-002,ORD-0ac2a8bc,2440.00,2026-08-01,Invoice settlement
RND-005,REC-SET-001,SET-3b1da642-001,ORD-3b1da642-A,1960.00,2026-08-01,Client remittance
DUP-002,REC-SET-001,SET-02dadfc2-001,ORD-02dadfc2,2160.00,2026-08-01,Online payment
REFD-009,REC-SET-001,SET-e469eebe-001,ORD-e469eebe-A,15550.00,2026-08-01,Settlement transfer
DUP-003,REC-SET-001,SET-dc1c3ad0-001,ORD-dc1c3ad0,2170.00,2026-08-01,Refund processing
NARR-001,REC-SET-001,SET-abc23d49-001,ORD-abc23d49-A,2300.00,2026-08-01,Payment related to ORD-abc23d49-A
RND-001,REC-SET-001,SET-0c3aee51-001,ORD-0c3aee51-A,1170.00,2026-08-01,Wire transfer
DUP-004,REC-SET-002,SET-c97f6b3e-002,ORD-c97f6b3e,1680.00,2026-08-01,Online payment
