scenario_ref,synthetic_ref,bank_utr,order_id,credit_amount,value_date,narration
FEE-010,REC-BNK-001,BNK-34fc9ed2-001,ORD-34fc9ed2-B,7925.00,2026-08-01,Wallet transfer
LATE-004,REC-BNK-001,BNK-f02eb125-001,ORD-f02eb125-B,21130.00,2026-08-11,Refund processing
REFD-007,REC-BNK-001,BNK-a0fc54b4-001,ORD-a0fc54b4-B,1030.00,2026-08-02,UPI transaction
EXACT-003,REC-BNK-001,BNK-70e3a430-001,ORD-70e3a430,2520.00,2026-08-02,Bank credit
LATE-001,REC-BNK-001,BNK-a2284beb-001,ORD-a2284beb-B,16100.00,2026-08-15,Card settlement
FEE-005,REC-BNK-001,BNK-80eedc54-001,ORD-80eedc54-B,7875.00,2026-08-02,Client remittance
FEE-007,REC-BNK-001,BNK-7369f0d7-001,ORD-7369f0d7-B,2385.00,2026-08-01,Reconciliation entry
TDLY-012,REC-BNK-001,BNK-a6e169e2-001,ORD-a6e169e2,15310.00,2026-08-03,ACH credit
LATE-006,REC-BNK-001,BNK-f5c7a9da-001,ORD-f5c7a9da-B,1650.00,2026-08-06,Direct deposit
RND-004,REC-BNK-001,BNK-9a816ea2-001,ORD-9a816ea2-B,1950.05,2026-08-01,Payment for services rendered
NARR-003,REC-BNK-001,BNK-3c72fba1-001,ORD-3c72fba1-B,17820.00,2026-08-17,Transfer mentioning ORD-3c72fba1-B
EXACT-014,REC-BNK-001,BNK-e5fbe318-001,ORD-e5fbe318,2630.00,2026-08-02,Monthly subscription fee
TDLY-015,REC-BNK-001,BNK-20d3092d-001,ORD-20d3092d,840.00,2026-08-02,Direct deposit
TDLY-014,REC-BNK-001,BNK-baac309e-001,ORD-baac309e,15330.00,2026-08-03,Adjustment entry
FEE-002,REC-BNK-001,BNK-6e4002a9-001,ORD-6e4002a9-B,5335.00,2026-08-01,Settlement transfer
EXACT-006,REC-BNK-001,BNK-974dfe1a-001,ORD-974dfe1a,20050.00,2026-08-01,Monthly subscription fee
RND-007,REC-BNK-001,BNK-c7226560-001,ORD-c7226560-B,2730.02,2026-08-01,Refund processing
EXACT-001,REC-BNK-001,BNK-28b14c40-001,ORD-28b14c40,750.00,2026-08-02,Vendor payout
DUP-005,REC-BNK-001,BNK-0ac2a8bc-001,ORD-0ac2a8bc-B,8940.00,2026-08-06,Adjustment entry
FEE-001,REC-BNK-001,BNK-408762a0-001,ORD-408762a0-B,20335.00,2026-08-02,Payment for services rendered
SPLT-001,REC-BNK-001,BNK-48688aa7-001,ORD-48688aa7-B,890.00,2026-08-02,Adjustment entry
FEE-012,REC-BNK-001,BNK-a523cc54-001,ORD-a523cc54-B,7945.00,2026-08-01,Client remittance
TDLY-005,REC-BNK-001,BNK-2c9359c2-001,ORD-2c9359c2,1740.00,2026-08-03,Client remittance
REFD-006,REC-BNK-001,BNK-c6d4f778-001,ORD-c6d4f778-B,20020.00,2026-08-02,Online payment
FEE-008,REC-BNK-001,BNK-be1a1409-001,ORD-be1a1409-B,2385.00,2026-08-01,Commission disbursement
SPLT-009,REC-BNK-001,BNK-f179c21c-001,ORD-f179c21c-B,10315.00,2026-08-02,Commission disbursement
SPLT-009,REC-BNK-002,BNK-f179c21c-002,ORD-f179c21c-C,10335.00,2026-08-01,UPI transaction
LATE-009,REC-BNK-001,BNK-dca544be-001,ORD-dca544be-B,8680.00,2026-08-06,Client remittance
EXACT-019,REC-BNK-001,BNK-51b0a977-001,ORD-51b0a977,1430.00,2026-08-01,Wallet transfer
EXACT-005,REC-BNK-001,BNK-7bc992f4-001,ORD-7bc992f4,1040.00,2026-08-02,ACH credit
SPLT-004,REC-BNK-001,BNK-c62c416f-001,ORD-c62c416f-B,2790.00,2026-08-02,Refund processing
FEE-004,REC-BNK-001,BNK-2c1ae13a-001,ORD-2c1ae13a-B,1595.00,2026-08-02,Refund processing
SPLT-001,REC-BNK-002,BNK-48688aa7-002,ORD-48688aa7-C,930.00,2026-08-01,Card settlement
REFD-002,REC-BNK-001,BNK-7409bf96-001,ORD-7409bf96-B,7780.00,2026-08-01,Commission disbursement
DUP-010,REC-BNK-001,BNK-69656163-001,ORD-69656163-B,1990.00,2026-08-06,UPI transaction
SPLT-006,REC-BNK-001,BNK-14acf163-001,ORD-14acf163-B,7800.00,2026-08-02,Invoice settlement
SPLT-006,REC-BNK-002,BNK-14acf163-002,ORD-14acf163-C,7820.00,2026-08-01,Commission disbursement
REFD-010,REC-BNK-001,BNK-1dd8d14a-001,ORD-1dd8d14a-B,15360.00,2026-08-02,Payment for services rendered
NARR-002,REC-BNK-001,BNK-e65f51d5-001,ORD-e65f51d5-B,1810.00,2026-08-12,Transfer mentioning ORD-e65f51d5-B
DUP-009,REC-BNK-001,BNK-65e9a1fe-001,ORD-65e9a1fe-B,2730.00,2026-08-06,Direct deposit
FEE-009,REC-BNK-001,BNK-8f5fbd01-001,ORD-8f5fbd01-B,1395.00,2026-08-01,Payment gateway transfer
SPLT-008,REC-BNK-001,BNK-a08f3d70-001,ORD-a08f3d70-B,1060.00,2026-08-01,Payment gateway transfer
SPLT-010,REC-BNK-002,BNK-96f3b64a-002,ORD-96f3b64a-C,10340.00,2026-08-01,Client remittance
