scenario_ref,synthetic_ref,settlement_id,order_id,gross_amount,settlement_date,narration
TDLY-008,REC-SET-001,SET-TDLY-008-001,ORD-TDLY-008,10270.00,2026-08-01,Commission disbursement
DUP-010,REC-SET-001,SET-DUP-010-001,ORD-DUP-010,1740.00,2026-08-01,Wire transfer
DUP-005,REC-SET-002,SET-DUP-005-002,ORD-DUP-005,15940.00,2026-08-01,Refund processing
DUP-001,REC-SET-001,SET-DUP-001-001,ORD-DUP-001,2400.00,2026-08-01,Commission disbursement
NARR-006,REC-SET-001,SET-NARR-006-001,ORD-NARR-006-A,15850.00,2026-08-01,Payment related to ORD-NARR-006
RND-007,REC-SET-001,SET-RND-007-001,ORD-RND-007-A,3230.00,2026-08-01,Adjustment entry
LATE-003,REC-SET-001,SET-LATE-003-001,ORD-LATE-003-A,2120.00,2026-08-01,Settlement transfer
EXACT-016,REC-SET-001,SET-EXACT-016-001,ORD-EXACT-016,650.00,2026-08-01,Refund processing
RND-013,REC-SET-001,SET-RND-013-001,ORD-RND-013-A,3290.00,2026-08-01,Payment gateway transfer
EXACT-014,REC-SET-001,SET-EXACT-014-001,ORD-EXACT-014,20130.00,2026-08-01,Monthly subscription fee
RND-006,REC-SET-001,SET-RND-006-001,ORD-RND-006-A,1720.00,2026-08-01,Wire transfer
REFD-005,REC-SET-001,SET-REFD-005-001,ORD-REFD-005-A,20510.00,2026-08-01,Card settlement
REFD-006,REC-SET-001,SET-REFD-006-001,ORD-REFD-006-A,1770.00,2026-08-01,Commission disbursement
NARR-003,REC-SET-001,SET-NARR-003-001,ORD-NARR-003-A,2820.00,2026-08-01,Payment related to ORD-NARR-003
EXACT-017,REC-SET-001,SET-EXACT-017-001,ORD-EXACT-017,1660.00,2026-08-01,Monthly subscription fee
TDLY-013,REC-SET-001,SET-TDLY-013-001,ORD-TDLY-013,7820.00,2026-08-01,Vendor payout
FEE-009,REC-SET-001,SET-FEE-009-001,ORD-FEE-009-A,930.00,2026-08-01,Payment gateway transfer
SPLT-005,REC-SET-001,SET-SPLT-005-001,ORD-SPLT-005-A,2110.00,2026-08-01,Bank credit
RND-011,REC-SET-001,SET-RND-011-001,ORD-RND-011-A,3270.00,2026-08-01,Payment gateway transfer
FEE-012,REC-SET-001,SET-FEE-012-001,ORD-FEE-012-A,1210.00,2026-08-01,Card settlement
LATE-004,REC-SET-001,SET-LATE-004-001,ORD-LATE-004-A,1880.00,2026-08-01,Wire transfer
SPLT-003,REC-SET-001,SET-SPLT-003-001,ORD-SPLT-003-A,1840.00,2026-08-01,Settlement transfer
REFD-004,REC-SET-001,SET-REFD-004-001,ORD-REFD-004-A,3000.00,2026-08-01,ACH credit
RND-010,REC-SET-001,SET-RND-010-001,ORD-RND-010-A,2760.00,2026-08-01,Monthly subscription fee
TDLY-012,REC-SET-001,SET-TDLY-012-001,ORD-TDLY-012,1060.00,2026-08-01,Card settlement
LATE-010,REC-SET-001,SET-LATE-010-001,ORD-LATE-010-A,3690.00,2026-08-01,Settlement transfer
EXACT-019,REC-SET-001,SET-EXACT-019-001,ORD-EXACT-019,1680.00,2026-08-01,Client remittance
LATE-002,REC-SET-001,SET-LATE-002-001,ORD-LATE-002-A,2610.00,2026-08-01,Payment gateway transfer
TDLY-015,REC-SET-001,SET-TDLY-015-001,ORD-TDLY-015,5340.00,2026-08-01,Online payment
EXACT-011,REC-SET-001,SET-EXACT-011-001,ORD-EXACT-011,600.00,2026-08-01,Refund processing
DUP-007,REC-SET-002,SET-DUP-007-002,ORD-DUP-007,10960.00,2026-08-01,ACH credit
EXACT-006,REC-SET-001,SET-EXACT-006-001,ORD-EXACT-006,1050.00,2026-08-01,Wire transfer
RND-008,REC-SET-001,SET-RND-008-001,ORD-RND-008-A,1240.00,2026-08-01,Refund processing
TDLY-010,REC-SET-001,SET-TDLY-010-001,ORD-TDLY-010,790.00,2026-08-01,Order fulfillment payment
REFD-007,REC-SET-001,SET-REFD-007-001,ORD-REFD-007-A,20530.00,2026-08-01,Invoice settlement
FEE-010,REC-SET-001,SET-FEE-010-001,ORD-FEE-010-A,1690.00,2026-08-01,Card settlement
EXACT-010,REC-SET-001,SET-EXACT-010-001,ORD-EXACT-010,7590.00,2026-08-01,Reconciliation entry
DUP-008,REC-SET-002,SET-DUP-008-002,ORD-DUP-008,15970.00,2026-08-01,Commission disbursement
EXACT-009,REC-SET-001,SET-EXACT-009-001,ORD-EXACT-009,20080.00,2026-08-01,ACH credit
RND-002,REC-SET-001,SET-RND-002-001,ORD-RND-002-A,1180.00,2026-08-01,Monthly subscription fee
NARR-008,REC-SET-001,SET-NARR-008-001,ORD-NARR-008-A,2120.00,2026-08-01,Payment related to ORD-NARR-008
LATE-009,REC-SET-001,SET-LATE-009-001,ORD-LATE-009-A,2430.00,2026-08-01,Wire transfer
EXACT-020,REC-SET-001,SET-EXACT-020-001,ORD-EXACT-020,2690.00,2026-08-01,UPI transaction
TDLY-011,REC-SET-001,SET-TDLY-011-001,ORD-TDLY-011,800.00,2026-08-01,Refund processing
REFD-002,REC-SET-001,SET-REFD-002-001,ORD-REFD-002-A,1480.00,2026-08-01,Direct deposit
RND-012,REC-SET-001,SET-RND-012-001,ORD-RND-012-A,1780.00,2026-08-01,Adjustment entry
LATE-006,REC-SET-001,SET-LATE-006-001,ORD-LATE-006-A,3650.00,2026-08-01,Payment for services rendered
LATE-007,REC-SET-001,SET-LATE-007-001,ORD-LATE-007-A,1660.00,2026-08-01,Reconciliation entry
DUP-006,REC-SET-001,SET-DUP-006-001,ORD-DUP-006,1450.00,2026-08-01,Invoice settlement
TDLY-007,REC-SET-001,SET-TDLY-007-001,ORD-TDLY-007,1260.00,2026-08-01,Online payment
UNQ-001,REC-SET-001,SET-UNQ-001-001,ORD-UNQ-001,6000.00,2026-08-01,Card settlement
RND-001,REC-SET-001,SET-RND-001-001,ORD-RND-001-A,15670.00,2026-08-01,Vendor payout
DUP-007,REC-SET-001,SET-DUP-007-001,ORD-DUP-007,10960.00,2026-08-01,Monthly subscription fee
NARR-005,REC-SET-001,SET-NARR-005-001,ORD-NARR-005-A,20840.00,2026-08-01,Payment related to ORD-NARR-005
DUP-009,REC-SET-002,SET-DUP-009-002,ORD-DUP-009,5980.00,2026-08-01,Refund processing
DUP-001,REC-SET-002,SET-DUP-001-002,ORD-DUP-001,2400.00,2026-08-01,Wire transfer
EXACT-013,REC-SET-001,SET-EXACT-013-001,ORD-EXACT-013,1120.00,2026-08-01,Bank credit
FEE-004,REC-SET-001,SET-FEE-004-001,ORD-FEE-004-A,2380.00,2026-08-01,Online payment
TDLY-001,REC-SET-001,SET-TDLY-001-001,ORD-TDLY-001,1200.00,2026-08-01,Online payment
REFD-001,REC-SET-001,SET-REFD-001-001,ORD-REFD-001-A,15470.00,2026-08-01,Payment for services rendered
SPLT-004,REC-SET-001,SET-SPLT-004-001,ORD-SPLT-004-A,1350.00,2026-08-01,ACH credit
LATE-005,REC-SET-001,SET-LATE-005-001,ORD-LATE-005-A,6140.00,2026-08-01,Invoice settlement
DUP-010,REC-SET-002,SET-DUP-010-002,ORD-DUP-010,1740.00,2026-08-01,Refund processing
TDLY-003,REC-SET-001,SET-TDLY-003-001,ORD-TDLY-003,970.00,2026-08-01,Settlement transfer
NARR-001,REC-SET-001,SET-NARR-001-001,ORD-NARR-001-A,10800.00,2026-08-01,Payment related to ORD-NARR-001
NARR-007,REC-SET-001,SET-NARR-007-001,ORD-NARR-007-A,20860.00,2026-08-01,Payment related to ORD-NARR-007
NARR-002,REC-SET-001,SET-NARR-002-001,ORD-NARR-002-A,20810.00,2026-08-01,Payment related to ORD-NARR-002
RND-005,REC-SET-001,SET-RND-005-001,ORD-RND-005-A,15710.00,2026-08-01,Bank credit
DUP-008,REC-SET-001,SET-DUP-008-001,ORD-DUP-008,15970.00,2026-08-01,UPI transaction
DUP-002,REC-SET-002,SET-DUP-002-002,ORD-DUP-002,5910.00,2026-08-01,ACH credit
TDLY-005,REC-SET-001,SET-TDLY-005-001,ORD-TDLY-005,1740.00,2026-08-01,Payment gateway transfer
UNQ-002,REC-SET-001,SET-UNQ-002-001,ORD-UNQ-002,2260.00,2026-08-01,ACH credit
RND-003,REC-SET-001,SET-RND-003-001,ORD-RND-003-A,10690.00,2026-08-01,Client remittance
NARR-010,REC-SET-001,SET-NARR-010-001,ORD-NARR-010-A,3390.00,2026-08-01,Payment related to ORD-NARR-010
FEE-002,REC-SET-001,SET-FEE-002-001,ORD-FEE-002-A,7860.00,2026-08-01,UPI transaction
NARR-004,REC-SET-001,SET-NARR-004-001,ORD-NARR-004-A,10830.00,2026-08-01,Payment related to ORD-NARR-004
SPLT-002,REC-SET-001,SET-SPLT-002-001,ORD-SPLT-002-A,15580.00,2026-08-01,UPI transaction
EXACT-007,REC-SET-001,SET-EXACT-007-001,ORD-EXACT-007,1310.00,2026-08-01,Payment gateway transfer
RND-009,REC-SET-001,SET-RND-009-001,ORD-RND-009-A,2250.00,2026-08-01,Refund processing
SPLT-006,REC-SET-001,SET-SPLT-006-001,ORD-SPLT-006-A,1620.00,2026-08-01,Card settlement
EXACT-003,REC-SET-001,SET-EXACT-003-001,ORD-EXACT-003,2520.00,2026-08-01,Invoice settlement
DUP-006,REC-SET-002,SET-DUP-006-002,ORD-DUP-006,1450.00,2026-08-01,Refund processing
REFD-009,REC-SET-001,SET-REFD-009-001,ORD-REFD-009-A,8050.00,2026-08-01,Vendor payout
SPLT-010,REC-SET-001,SET-SPLT-010-001,ORD-SPLT-010-A,15660.00,2026-08-01,Adjustment entry
FEE-005,REC-SET-001,SET-FEE-005-001,ORD-FEE-005-A,15390.00,2026-08-01,Commission disbursement
DUP-002,REC-SET-001,SET-DUP-002-001,ORD-DUP-002,5910.00,2026-08-01,ACH credit
DUP-003,REC-SET-001,SET-DUP-003-001,ORD-DUP-003,5920.00,2026-08-01,Vendor payout
REFD-008,REC-SET-001,SET-REFD-008-001,ORD-REFD-008-A,1040.00,2026-08-01,Direct deposit
TDLY-009,REC-SET-001,SET-TDLY-009-001,ORD-TDLY-009,7780.00,2026-08-01,Online payment
EXACT-015,REC-SET-001,SET-EXACT-015-001,ORD-EXACT-015,5140.00,2026-08-01,Settlement transfer
NARR-009,REC-SET-001,SET-NARR-009-001,ORD-NARR-009-A,15880.00,2026-08-01,Payment related to ORD-NARR-009
LATE-008,REC-SET-001,SET-LATE-008-001,ORD-LATE-008-A,8670.00,2026-08-01,Wallet transfer
EXACT-001,REC-SET-001,SET-EXACT-001-001,ORD-EXACT-001,15000.00,2026-08-01,Order fulfillment payment
FEE-007,REC-SET-001,SET-FEE-007-001,ORD-FEE-007-A,1660.00,2026-08-01,Order fulfillment payment
SPLT-001,REC-SET-001,SET-SPLT-001-001,ORD-SPLT-001-A,10570.00,2026-08-01,UPI transaction
SPLT-007,REC-SET-001,SET-SPLT-007-001,ORD-SPLT-007-A,2130.00,2026-08-01,Order fulfillment payment
RND-004,REC-SET-001,SET-RND-004-001,ORD-RND-004-A,2200.00,2026-08-01,Invoice settlement
SPLT-008,REC-SET-001,SET-SPLT-008-001,ORD-SPLT-008-A,20640.00,2026-08-01,Client remittance
DUP-009,REC-SET-001,SET-DUP-009-001,ORD-DUP-009,5980.00,2026-08-01,Settlement transfer
EXACT-018,REC-SET-001,SET-EXACT-018-001,ORD-EXACT-018,15170.00,2026-08-01,Direct deposit
EXACT-002,REC-SET-001,SET-EXACT-002-001,ORD-EXACT-002,1260.00,2026-08-01,Client remittance
DUP-004,REC-SET-001,SET-DUP-004-001,ORD-DUP-004,8430.00,2026-08-01,Wallet transfer
EXACT-008,REC-SET-001,SET-EXACT-008-001,ORD-EXACT-008,820.00,2026-08-01,Bank credit
